[4/7/22 06:41PM] Player dropped item: Slayer helm (T2), id: 23069, amount: 1	
[4/7/22 06:44PM] Player dropped item: Aspect Tokens, id: 10835, amount: 10	
[4/7/22 07:35PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/7/22 07:38PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/7/22 07:38PM] Player dropped item: Dark cape, id: 15100, amount: 1	
[4/7/22 07:41PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/7/22 07:41PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/7/22 07:41PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/7/22 07:48PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/9/22 12:10AM] Player dropped item: Aura (T5), id: 23048, amount: 1	
[4/9/22 12:10AM] Player dropped item: Aura (T3), id: 23046, amount: 1	
[4/9/22 12:59AM] Player dropped item: Slayer helm (T4), id: 23074, amount: 1	
[4/9/22 12:59AM] Player dropped item: Donator's Aura, id: 12630, amount: 1	
[4/9/22 01:02AM] Player dropped item: Aura (T2), id: 23045, amount: 1	
[4/9/22 12:25PM] Player dropped item: Raids [1] Key, id: 13591, amount: 2	
